Country,Code,Year,Deaths
Argentina,ARG,1992,2105
Argentina,ARG,1993,2123
Argentina,ARG,1994,2226
Argentina,ARG,1995,2173
Argentina,ARG,1996,2276
Argentina,ARG,1997,2179
Argentina,ARG,1998,2055
Argentina,ARG,1999,2169
Argentina,ARG,2000,2544
Argentina,ARG,2001,2581
Argentina,ARG,2002,2691
Argentina,ARG,2003,2430
Argentina,ARG,2004,2061
Argentina,ARG,2005,1957
Argentina,ARG,2006,2242
Argentina,ARG,2007,1894
Argentina,ARG,2008,2340
Argentina,ARG,2009,2399
Argentina,ARG,2010,2452
Argentina,ARG,2011,2535
Argentina,ARG,2012,2743
Argentina,ARG,2013,2847
Argentina,ARG,2014,2959
Argentina,ARG,2015,2905
Argentina,ARG,2016,2917
Argentina,ARG,2017,2900
Argentina,ARG,2018,2891
Argentina,ARG,2019,2881
Bolivia,BOL,1992,478
Bolivia,BOL,1993,491
Bolivia,BOL,1994,502
Bolivia,BOL,1995,512
Bolivia,BOL,1996,517
Bolivia,BOL,1997,527
Bolivia,BOL,1998,536
Bolivia,BOL,1999,539
Bolivia,BOL,2000,595
Bolivia,BOL,2001,548
Bolivia,BOL,2002,557
Bolivia,BOL,2003,559
Bolivia,BOL,2004,566
Bolivia,BOL,2005,570
Bolivia,BOL,2006,573
Bolivia,BOL,2007,584
Bolivia,BOL,2008,594
Bolivia,BOL,2009,607
Bolivia,BOL,2010,628
Bolivia,BOL,2011,626
Bolivia,BOL,2012,628
Bolivia,BOL,2013,628
Bolivia,BOL,2014,644
Bolivia,BOL,2015,640
Bolivia,BOL,2016,624
Bolivia,BOL,2017,624
Bolivia,BOL,2018,620
Bolivia,BOL,2019,615
Brazil,BRA,1992,42765
Brazil,BRA,1993,45849
Brazil,BRA,1994,47507
Brazil,BRA,1995,51099
Brazil,BRA,1996,51801
Brazil,BRA,1997,53278
Brazil,BRA,1998,55655
Brazil,BRA,1999,55424
Brazil,BRA,2000,57844
Brazil,BRA,2001,60012
Brazil,BRA,2002,61969
Brazil,BRA,2003,62076
Brazil,BRA,2004,60644
