Country,Code,Year,Unemployment_Rate,Deaths,Population,DeathsPer10000
Argentina,ARG,1992,6.360000134,2105,44745516,0.4704382
Argentina,ARG,1993,10.10000038,2123,44745516,0.474460949
Argentina,ARG,1994,11.76000023,2226,44745516,0.497480016
Argentina,ARG,1995,18.79999924,2173,44745516,0.485635253
Argentina,ARG,1996,17.11000061,2276,44745516,0.50865432
Argentina,ARG,1997,14.81999969,2179,44745516,0.48697617
Argentina,ARG,1998,12.64999962,2055,44745516,0.459263896
Argentina,ARG,1999,14.05000019,2169,44745516,0.484741309
Argentina,ARG,2000,15,2544,44745516,0.568548589
Argentina,ARG,2001,17.31999969,2581,44745516,0.576817574
Argentina,ARG,2002,19.59000015,2691,44745516,0.601401043
Argentina,ARG,2003,15.35999966,2430,44745516,0.543071176
Argentina,ARG,2004,13.52000046,2061,44745516,0.460604812
Argentina,ARG,2005,11.51000023,1957,44745516,0.43736226
Argentina,ARG,2006,10.07999992,2242,44745516,0.501055793
Argentina,ARG,2007,8.470000267,1894,44745516,0.423282637
Argentina,ARG,2008,7.840000153,2340,44745516,0.522957429
Argentina,ARG,2009,8.649999619,2399,44745516,0.536143108
Argentina,ARG,2010,7.710000038,2452,44745516,0.54798787
Argentina,ARG,2011,7.179999828,2535,44745516,0.566537215
Argentina,ARG,2012,7.21999979,2743,44745516,0.613022319
Argentina,ARG,2013,7.099999905,2847,44745516,0.636264872
Argentina,ARG,2014,7.269999981,2959,44745516,0.661295313
Argentina,ARG,2015,7.520999908,2905,44745516,0.649227064
Argentina,ARG,2016,8.111000061,2917,44745516,0.651908897
Argentina,ARG,2017,8.350000381,2900,44745516,0.648109634
Argentina,ARG,2018,9.220000267,2891,44745516,0.646098259
Argentina,ARG,2019,9.840000153,2881,44745516,0.643863399
Bolivia,BOL,1992,3.25999999,478,11777318,0.405864901
Bolivia,BOL,1993,3.084000111,491,11777318,0.416903067
Bolivia,BOL,1994,3.079999924,502,11777318,0.426243055
Bolivia,BOL,1995,2.753000021,512,11777318,0.434733952
Bolivia,BOL,1996,2.443000078,517,11777318,0.438979401
Bolivia,BOL,1997,2.079999924,527,11777318,0.447470298
Bolivia,BOL,1998,2.128999949,536,11777318,0.455112106
Bolivia,BOL,1999,2.443000078,539,11777318,0.457659375
Bolivia,BOL,2000,2.378000021,595,11777318,0.505208401
Bolivia,BOL,2001,2.484999895,548,11777318,0.465301183
Bolivia,BOL,2002,2.493999958,557,11777318,0.472942991
Bolivia,BOL,2003,2.536999941,559,11777318,0.47464117
Bolivia,BOL,2004,2.503000021,566,11777318,0.480584799
Bolivia,BOL,2005,2.54399991,570,11777318,0.483981158
Bolivia,BOL,2006,2.575999975,573,11777318,0.486528427
Bolivia,BOL,2007,2.645999908,584,11777318,0.495868414
Bolivia,BOL,2008,2.599999905,594,11777318,0.504359312
Bolivia,BOL,2009,2.970000029,607,11777318,0.515397478
Bolivia,BOL,2010,2.614000082,628,11777318,0.533228363
Bolivia,BOL,2011,2.25,626,11777318,0.531530184
Bolivia,BOL,2012,2.069999933,628,11777318,0.533228363
Bolivia,BOL,2013,2.440000057,628,11777318,0.533228363
Bolivia,BOL,2014,2.019999981,644,11777318,0.546813799
Bolivia,BOL,2015,3.109999895,640,11777318,0.54341744
Bolivia,BOL,2016,3.5,624,11777318,0.529832004
Bolivia,BOL,2017,3.650000095,624,11777318,0.529832004
Bolivia,BOL,2018,3.519999981,620,11777318,0.526435645
Bolivia,BOL,2019,3.819999933,615,11777318,0.522190196
