Country,Code,Year,Gini coefficient
Argentina - urban,,1992,0.45468093
Argentina - urban,,1993,0.448562859
Argentina - urban,,1994,0.459168036
Argentina - urban,,1995,0.489044033
Argentina - urban,,1996,0.495244294
Argentina - urban,,1997,0.491104752
Argentina - urban,,1998,0.507336438
Argentina - urban,,1999,0.497920414
Argentina - urban,,2000,0.510639577
Argentina - urban,,2001,0.53343106
Argentina - urban,,2002,0.537937583
Argentina - urban,,2003,0.50897157
Argentina - urban,,2004,0.483770346
Argentina - urban,,2005,0.477073551
Argentina - urban,,2006,0.4634608
Argentina - urban,,2007,0.461735563
Argentina - urban,,2008,0.448767903
Argentina - urban,,2009,0.43654197
Argentina - urban,,2010,0.435832183
Argentina - urban,,2011,0.426452806
Argentina - urban,,2012,0.413261979
Argentina - urban,,2013,0.409454422
Argentina - urban,,2014,0.416327899
Argentina - urban,,2016,0.420325289
Argentina - urban,,2017,0.411344884
Argentina - urban,,2018,0.413424984
Argentina - urban,,2019,0.429058504
Bolivia,BOL,1997,0.581644284
Bolivia,BOL,1999,0.580970457
Bolivia,BOL,2000,0.616399151
Bolivia,BOL,2001,0.573987961
Bolivia,BOL,2002,0.593110391
Bolivia,BOL,2004,0.550098723
Bolivia,BOL,2005,0.585279334
Bolivia,BOL,2006,0.566676818
Bolivia,BOL,2007,0.545370687
Bolivia,BOL,2008,0.508160807
Bolivia,BOL,2009,0.492229627
Bolivia,BOL,2011,0.460809514
Bolivia,BOL,2012,0.465852318
Bolivia,BOL,2013,0.475987892
Bolivia,BOL,2014,0.478319912
Bolivia,BOL,2015,0.467399531
Bolivia,BOL,2016,0.452506611
Bolivia,BOL,2017,0.446161139
Bolivia,BOL,2018,0.425795049
Bolivia,BOL,2019,0.416496365
Brazil,BRA,1992,0.531729559
Brazil,BRA,1993,0.601188215
Brazil,BRA,1995,0.595697247
Brazil,BRA,1996,0.59888907
Brazil,BRA,1997,0.597996583
Brazil,BRA,1998,0.596072313
Brazil,BRA,1999,0.589915929
Brazil,BRA,2001,0.584133277
Brazil,BRA,2002,0.581136431
Brazil,BRA,2003,0.575627919
Brazil,BRA,2004,0.564787516
Brazil,BRA,2005,0.563162962
